Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
305.3_ ,203.5_ ,0.0_ ,203.5_ ,0.0_ ,965.4_ ,631.0_ ,28_ ,43.38_ 
236.0_ ,157.0_ ,0.0_ ,192.0_ ,0.0_ ,972.6_ ,749.1_ ,7_ ,20.42_ 
173.0_ ,116.0_ ,0.0_ ,192.0_ ,0.0_ ,946.8_ ,856.8_ ,3_ ,6.94_ 
212.0_ ,141.3_ ,0.0_ ,203.5_ ,0.0_ ,973.4_ ,750.0_ ,7_ ,15.03_ 
236.0_ ,157.0_ ,0.0_ ,192.0_ ,0.0_ ,972.6_ ,749.1_ ,3_ ,13.57_ 
183.9_ ,122.6_ ,0.0_ ,203.5_ ,0.0_ ,959.2_ ,800.0_ ,90_ ,32.53_ 
166.8_ ,250.2_ ,0.0_ ,203.5_ ,0.0_ ,975.6_ ,692.6_ ,7_ ,15.75_ 
102.0_ ,153.0_ ,0.0_ ,192.0_ ,0.0_ ,887.0_ ,942.0_ ,7_ ,7.68_ 
288.0_ ,192.0_ ,0.0_ ,192.0_ ,0.0_ ,932.0_ ,717.8_ ,28_ ,38.80_ 
212.0_ ,141.3_ ,0.0_ ,203.5_ ,0.0_ ,973.4_ ,750.0_ ,28_ ,33.00_ 
102.0_ ,153.0_ ,0.0_ ,192.0_ ,0.0_ ,887.0_ ,942.0_ ,28_ ,17.28_ 
173.0_ ,116.0_ ,0.0_ ,192.0_ ,0.0_ ,946.8_ ,856.8_ ,28_ ,24.28_ 
183.9_ ,122.6_ ,0.0_ ,203.5_ ,0.0_ ,959.2_ ,800.0_ ,28_ ,24.05_ 
133.0_ ,200.0_ ,0.0_ ,192.0_ ,0.0_ ,927.4_ ,839.2_ ,90_ ,36.59_ 
192.0_ ,288.0_ ,0.0_ ,192.0_ ,0.0_ ,929.8_ ,716.1_ ,90_ ,50.73_ 
133.0_ ,200.0_ ,0.0_ ,192.0_ ,0.0_ ,927.4_ ,839.2_ ,7_ ,13.66_ 
305.3_ ,203.5_ ,0.0_ ,203.5_ ,0.0_ ,965.4_ ,631.0_ ,3_ ,14.14_ 
236.0_ ,157.0_ ,0.0_ ,192.0_ ,0.0_ ,972.6_ ,749.1_ ,90_ ,47.78_ 
108.3_ ,162.4_ ,0.0_ ,203.5_ ,0.0_ ,938.2_ ,849.0_ ,3_ ,2.33_ 
157.0_ ,236.0_ ,0.0_ ,192.0_ ,0.0_ ,935.4_ ,781.2_ ,7_ ,16.89_ 
288.0_ ,192.0_ ,0.0_ ,192.0_ ,0.0_ ,932.0_ ,717.8_ ,7_ ,23.52_ 
212.0_ ,141.3_ ,0.0_ ,203.5_ ,0.0_ ,973.4_ ,750.0_ ,3_ ,6.81_ 
212.0_ ,141.3_ ,0.0_ ,203.5_ ,0.0_ ,973.4_ ,750.0_ ,90_ ,39.70_ 
153.0_ ,102.0_ ,0.0_ ,192.0_ ,0.0_ ,888.0_ ,943.1_ ,28_ ,17.96_ 
236.0_ ,157.0_ ,0.0_ ,192.0_ ,0.0_ ,972.6_ ,749.1_ ,28_ ,32.88_ 
116.0_ ,173.0_ ,0.0_ ,192.0_ ,0.0_ ,909.8_ ,891.9_ ,28_ ,22.35_ 
183.9_ ,122.6_ ,0.0_ ,203.5_ ,0.0_ ,959.2_ ,800.0_ ,7_ ,10.79_ 
108.3_ ,162.4_ ,0.0_ ,203.5_ ,0.0_ ,938.2_ ,849.0_ ,7_ ,7.72_ 
203.5_ ,305.3_ ,0.0_ ,203.5_ ,0.0_ ,963.4_ ,630.0_ ,28_ ,41.68_ 
203.5_ ,305.3_ ,0.0_ ,203.5_ ,0.0_ ,963.4_ ,630.0_ ,3_ ,9.56_ 
133.0_ ,200.0_ ,0.0_ ,192.0_ ,0.0_ ,927.4_ ,839.2_ ,3_ ,6.88_ 
288.0_ ,192.0_ ,0.0_ ,192.0_ ,0.0_ ,932.0_ ,717.8_ ,90_ ,50.53_ 
200.0_ ,133.0_ ,0.0_ ,192.0_ ,0.0_ ,965.4_ ,806.2_ ,7_ ,17.17_ 
200.0_ ,133.0_ ,0.0_ ,192.0_ ,0.0_ ,965.4_ ,806.2_ ,28_ ,30.44_ 
250.2_ ,166.8_ ,0.0_ ,203.5_ ,0.0_ ,977.6_ ,694.1_ ,3_ ,9.73_ 
122.6_ ,183.9_ ,0.0_ ,203.5_ ,0.0_ ,958.2_ ,800.1_ ,3_ ,3.32_ 
153.0_ ,102.0_ ,0.0_ ,192.0_ ,0.0_ ,888.0_ ,943.1_ ,90_ ,26.32_ 
200.0_ ,133.0_ ,0.0_ ,192.0_ ,0.0_ ,965.4_ ,806.2_ ,90_ ,43.25_ 
116.0_ ,173.0_ ,0.0_ ,192.0_ ,0.0_ ,909.8_ ,891.9_ ,3_ ,6.28_ 
173.0_ ,116.0_ ,0.0_ ,192.0_ ,0.0_ ,946.8_ ,856.8_ ,90_ ,32.10_ 
250.2_ ,166.8_ ,0.0_ ,203.5_ ,0.0_ ,977.6_ ,694.1_ ,28_ ,36.96_ 
305.3_ ,203.5_ ,0.0_ ,203.5_ ,0.0_ ,965.4_ ,631.0_ ,90_ ,54.60_ 
192.0_ ,288.0_ ,0.0_ ,192.0_ ,0.0_ ,929.8_ ,716.1_ ,7_ ,21.48_ 
157.0_ ,236.0_ ,0.0_ ,192.0_ ,0.0_ ,935.4_ ,781.2_ ,3_ ,9.69_ 
153.0_ ,102.0_ ,0.0_ ,192.0_ ,0.0_ ,888.0_ ,943.1_ ,7_ ,8.37_ 
141.3_ ,212.0_ ,0.0_ ,203.5_ ,0.0_ ,971.8_ ,748.5_ ,90_ ,39.66_ 
116.0_ ,173.0_ ,0.0_ ,192.0_ ,0.0_ ,909.8_ ,891.9_ ,7_ ,10.09_ 
141.3_ ,212.0_ ,0.0_ ,203.5_ ,0.0_ ,971.8_ ,748.5_ ,3_ ,4.83_ 
122.6_ ,183.9_ ,0.0_ ,203.5_ ,0.0_ ,958.2_ ,800.1_ ,7_ ,10.35_ 
166.8_ ,250.2_ ,0.0_ ,203.5_ ,0.0_ ,975.6_ ,692.6_ ,90_ ,43.57_ 
203.5_ ,305.3_ ,0.0_ ,203.5_ ,0.0_ ,963.4_ ,630.0_ ,90_ ,51.86_ 
310.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,1012.0_ ,830.0_ ,3_ ,11.85_ 
310.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,1012.0_ ,830.0_ ,7_ ,17.24_ 
310.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,1012.0_ ,830.0_ ,28_ ,27.83_ 
310.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,1012.0_ ,830.0_ ,90_ ,35.76_ 
310.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,1012.0_ ,830.0_ ,120_ ,38.70_ 
331.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,1025.0_ ,821.0_ ,3_ ,14.31_ 
331.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,1025.0_ ,821.0_ ,7_ ,17.44_ 
331.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,1025.0_ ,821.0_ ,28_ ,31.74_ 
331.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,1025.0_ ,821.0_ ,90_ ,37.91_ 
331.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,1025.0_ ,821.0_ ,120_ ,39.38_ 
349.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,1056.0_ ,809.0_ ,3_ ,15.87_ 
349.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,1056.0_ ,809.0_ ,7_ ,9.01_ 
349.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,1056.0_ ,809.0_ ,28_ ,33.61_ 
349.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,1056.0_ ,809.0_ ,90_ ,40.66_ 
349.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,1056.0_ ,809.0_ ,120_ ,40.86_ 
238.0_ ,0.0_ ,0.0_ ,186.0_ ,0.0_ ,1119.0_ ,789.0_ ,7_ ,12.05_ 
238.0_ ,0.0_ ,0.0_ ,186.0_ ,0.0_ ,1119.0_ ,789.0_ ,28_ ,17.54_ 
296.0_ ,0.0_ ,0.0_ ,186.0_ ,0.0_ ,1090.0_ ,769.0_ ,7_ ,18.91_ 
296.0_ ,0.0_ ,0.0_ ,186.0_ ,0.0_ ,1090.0_ ,769.0_ ,28_ ,25.18_ 
297.0_ ,0.0_ ,0.0_ ,186.0_ ,0.0_ ,1040.0_ ,734.0_ ,7_ ,30.96_ 
480.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,936.0_ ,721.0_ ,28_ ,43.89_ 
480.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,936.0_ ,721.0_ ,90_ ,54.28_ 
397.0_ ,0.0_ ,0.0_ ,186.0_ ,0.0_ ,1040.0_ ,734.0_ ,28_ ,36.94_ 
281.0_ ,0.0_ ,0.0_ ,186.0_ ,0.0_ ,1104.0_ ,774.0_ ,7_ ,14.50_ 
281.0_ ,0.0_ ,0.0_ ,185.0_ ,0.0_ ,1104.0_ ,774.0_ ,28_ ,22.44_ 
500.0_ ,0.0_ ,0.0_ ,200.0_ ,0.0_ ,1125.0_ ,613.0_ ,1_ ,12.64_ 
500.0_ ,0.0_ ,0.0_ ,200.0_ ,0.0_ ,1125.0_ ,613.0_ ,3_ ,26.06_ 
500.0_ ,0.0_ ,0.0_ ,200.0_ ,0.0_ ,1125.0_ ,613.0_ ,7_ ,33.21_ 
500.0_ ,0.0_ ,0.0_ ,200.0_ ,0.0_ ,1125.0_ ,613.0_ ,14_ ,36.94_ 
500.0_ ,0.0_ ,0.0_ ,200.0_ ,0.0_ ,1125.0_ ,613.0_ ,28_ ,44.09_ 
540.0_ ,0.0_ ,0.0_ ,173.0_ ,0.0_ ,1125.0_ ,613.0_ ,7_ ,52.61_ 
540.0_ ,0.0_ ,0.0_ ,173.0_ ,0.0_ ,1125.0_ ,613.0_ ,14_ ,59.76_ 
540.0_ ,0.0_ ,0.0_ ,173.0_ ,0.0_ ,1125.0_ ,613.0_ ,28_ ,67.31_ 
540.0_ ,0.0_ ,0.0_ ,173.0_ ,0.0_ ,1125.0_ ,613.0_ ,90_ ,69.66_ 
540.0_ ,0.0_ ,0.0_ ,173.0_ ,0.0_ ,1125.0_ ,613.0_ ,180_ ,71.62_ 
540.0_ ,0.0_ ,0.0_ ,173.0_ ,0.0_ ,1125.0_ ,613.0_ ,270_ ,74.17_ 
350.0_ ,0.0_ ,0.0_ ,203.0_ ,0.0_ ,974.0_ ,775.0_ ,7_ ,18.13_ 
350.0_ ,0.0_ ,0.0_ ,203.0_ ,0.0_ ,974.0_ ,775.0_ ,14_ ,22.53_ 
350.0_ ,0.0_ ,0.0_ ,203.0_ ,0.0_ ,974.0_ ,775.0_ ,28_ ,27.34_ 
350.0_ ,0.0_ ,0.0_ ,203.0_ ,0.0_ ,974.0_ ,775.0_ ,56_ ,29.98_ 
350.0_ ,0.0_ ,0.0_ ,203.0_ ,0.0_ ,974.0_ ,775.0_ ,90_ ,31.35_ 
350.0_ ,0.0_ ,0.0_ ,203.0_ ,0.0_ ,974.0_ ,775.0_ ,180_ ,32.72_ 
385.0_ ,0.0_ ,0.0_ ,186.0_ ,0.0_ ,966.0_ ,763.0_ ,1_ ,6.27_ 
385.0_ ,0.0_ ,0.0_ ,186.0_ ,0.0_ ,966.0_ ,763.0_ ,3_ ,14.70_ 
385.0_ ,0.0_ ,0.0_ ,186.0_ ,0.0_ ,966.0_ ,763.0_ ,7_ ,23.22_ 
385.0_ ,0.0_ ,0.0_ ,186.0_ ,0.0_ ,966.0_ ,763.0_ ,14_ ,27.92_ 
385.0_ ,0.0_ ,0.0_ ,186.0_ ,0.0_ ,966.0_ ,763.0_ ,28_ ,31.35_ 
331.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,978.0_ ,825.0_ ,180_ ,39.00_ 
331.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,978.0_ ,825.0_ ,360_ ,41.24_ 
349.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,1047.0_ ,806.0_ ,3_ ,14.99_ 
331.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,978.0_ ,825.0_ ,3_ ,13.52_ 
382.0_ ,0.0_ ,0.0_ ,186.0_ ,0.0_ ,1047.0_ ,739.0_ ,7_ ,24.00_ 
382.0_ ,0.0_ ,0.0_ ,186.0_ ,0.0_ ,1047.0_ ,739.0_ ,28_ ,37.42_ 
382.0_ ,0.0_ ,0.0_ ,186.0_ ,0.0_ ,1111.0_ ,784.0_ ,7_ ,11.47_ 
281.0_ ,0.0_ ,0.0_ ,186.0_ ,0.0_ ,1104.0_ ,774.0_ ,28_ ,22.44_ 
339.0_ ,0.0_ ,0.0_ ,185.0_ ,0.0_ ,1069.0_ ,754.0_ ,7_ ,21.16_ 
339.0_ ,0.0_ ,0.0_ ,185.0_ ,0.0_ ,1069.0_ ,754.0_ ,28_ ,31.84_ 
295.0_ ,0.0_ ,0.0_ ,185.0_ ,0.0_ ,1069.0_ ,769.0_ ,7_ ,14.80_ 
295.0_ ,0.0_ ,0.0_ ,185.0_ ,0.0_ ,1069.0_ ,769.0_ ,28_ ,25.18_ 
238.0_ ,0.0_ ,0.0_ ,185.0_ ,0.0_ ,1118.0_ ,789.0_ ,28_ ,17.54_ 
296.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,1085.0_ ,765.0_ ,7_ ,14.20_ 
296.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,1085.0_ ,765.0_ ,28_ ,21.65_ 
296.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,1085.0_ ,765.0_ ,90_ ,29.39_ 
331.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,879.0_ ,825.0_ ,3_ ,13.52_ 
331.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,978.0_ ,825.0_ ,7_ ,16.26_ 
331.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,978.0_ ,825.0_ ,28_ ,31.45_ 
331.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,978.0_ ,825.0_ ,90_ ,37.23_ 
349.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,1047.0_ ,806.0_ ,7_ ,18.13_ 
349.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,1047.0_ ,806.0_ ,28_ ,32.72_ 
349.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,1047.0_ ,806.0_ ,90_ ,39.49_ 
349.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,1047.0_ ,806.0_ ,180_ ,41.05_ 
349.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,1047.0_ ,806.0_ ,360_ ,42.13_ 
302.0_ ,0.0_ ,0.0_ ,203.0_ ,0.0_ ,974.0_ ,817.0_ ,14_ ,18.13_ 
302.0_ ,0.0_ ,0.0_ ,203.0_ ,0.0_ ,974.0_ ,817.0_ ,180_ ,26.74_ 
525.0_ ,0.0_ ,0.0_ ,189.0_ ,0.0_ ,1125.0_ ,613.0_ ,180_ ,61.92_ 
500.0_ ,0.0_ ,0.0_ ,200.0_ ,0.0_ ,1125.0_ ,613.0_ ,90_ ,47.22_ 
500.0_ ,0.0_ ,0.0_ ,200.0_ ,0.0_ ,1125.0_ ,613.0_ ,180_ ,51.04_ 
500.0_ ,0.0_ ,0.0_ ,200.0_ ,0.0_ ,1125.0_ ,613.0_ ,270_ ,55.16_ 
540.0_ ,0.0_ ,0.0_ ,173.0_ ,0.0_ ,1125.0_ ,613.0_ ,3_ ,41.64_ 
252.0_ ,0.0_ ,0.0_ ,185.0_ ,0.0_ ,1111.0_ ,784.0_ ,7_ ,13.71_ 
252.0_ ,0.0_ ,0.0_ ,185.0_ ,0.0_ ,1111.0_ ,784.0_ ,28_ ,19.69_ 
339.0_ ,0.0_ ,0.0_ ,185.0_ ,0.0_ ,1060.0_ ,754.0_ ,28_ ,31.65_ 
393.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,940.0_ ,758.0_ ,3_ ,19.11_ 
393.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,940.0_ ,758.0_ ,28_ ,39.58_ 
393.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,940.0_ ,758.0_ ,90_ ,48.79_ 
382.0_ ,0.0_ ,0.0_ ,185.0_ ,0.0_ ,1047.0_ ,739.0_ ,7_ ,24.00_ 
382.0_ ,0.0_ ,0.0_ ,185.0_ ,0.0_ ,1047.0_ ,739.0_ ,28_ ,37.42_ 
252.0_ ,0.0_ ,0.0_ ,186.0_ ,0.0_ ,1111.0_ ,784.0_ ,7_ ,11.47_ 
252.0_ ,0.0_ ,0.0_ ,185.0_ ,0.0_ ,1111.0_ ,784.0_ ,28_ ,19.69_ 
310.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,970.0_ ,850.0_ ,7_ ,14.99_ 
310.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,970.0_ ,850.0_ ,28_ ,27.92_ 
310.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,970.0_ ,850.0_ ,90_ ,34.68_ 
310.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,970.0_ ,850.0_ ,180_ ,37.33_ 
310.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,970.0_ ,850.0_ ,360_ ,38.11_ 
525.0_ ,0.0_ ,0.0_ ,189.0_ ,0.0_ ,1125.0_ ,613.0_ ,3_ ,33.80_ 
525.0_ ,0.0_ ,0.0_ ,189.0_ ,0.0_ ,1125.0_ ,613.0_ ,7_ ,42.42_ 
525.0_ ,0.0_ ,0.0_ ,189.0_ ,0.0_ ,1125.0_ ,613.0_ ,14_ ,48.40_ 
525.0_ ,0.0_ ,0.0_ ,189.0_ ,0.0_ ,1125.0_ ,613.0_ ,28_ ,55.94_ 
525.0_ ,0.0_ ,0.0_ ,189.0_ ,0.0_ ,1125.0_ ,613.0_ ,90_ ,58.78_ 
525.0_ ,0.0_ ,0.0_ ,189.0_ ,0.0_ ,1125.0_ ,613.0_ ,270_ ,67.11_ 
322.0_ ,0.0_ ,0.0_ ,203.0_ ,0.0_ ,974.0_ ,800.0_ ,14_ ,20.77_ 
322.0_ ,0.0_ ,0.0_ ,203.0_ ,0.0_ ,974.0_ ,800.0_ ,28_ ,25.18_ 
322.0_ ,0.0_ ,0.0_ ,203.0_ ,0.0_ ,974.0_ ,800.0_ ,180_ ,29.59_ 
302.0_ ,0.0_ ,0.0_ ,203.0_ ,0.0_ ,974.0_ ,817.0_ ,28_ ,21.75_ 
397.0_ ,0.0_ ,0.0_ ,185.0_ ,0.0_ ,1040.0_ ,734.0_ ,28_ ,39.09_ 
480.0_ ,0.0_ ,0.0_ ,192.0_ ,0.0_ ,936.0_ ,721.0_ ,3_ ,24.39_ 
522.0_ ,0.0_ ,0.0_ ,146.0_ ,0.0_ ,896.0_ ,896.0_ ,7_ ,50.51_ 
522.0_ ,0.0_ ,0.0_ ,146.0_ ,0.0_ ,896.0_ ,896.0_ ,28_ ,74.99_ 
273.0_ ,105.0_ ,82.0_ ,210.0_ ,9.0_ ,904.0_ ,680.0_ ,28_ ,37.17_ 
162.0_ ,190.0_ ,148.0_ ,179.0_ ,19.0_ ,838.0_ ,741.0_ ,28_ ,33.76_ 
154.0_ ,144.0_ ,112.0_ ,220.0_ ,10.0_ ,923.0_ ,658.0_ ,28_ ,16.50_ 
147.0_ ,115.0_ ,89.0_ ,202.0_ ,9.0_ ,860.0_ ,829.0_ ,28_ ,19.99_ 
152.0_ ,178.0_ ,139.0_ ,168.0_ ,18.0_ ,944.0_ ,695.0_ ,28_ ,36.35_ 
310.0_ ,143.0_ ,111.0_ ,168.0_ ,22.0_ ,914.0_ ,651.0_ ,28_ ,33.69_ 
144.0_ ,0.0_ ,175.0_ ,158.0_ ,18.0_ ,943.0_ ,844.0_ ,28_ ,15.42_ 
304.0_ ,140.0_ ,0.0_ ,214.0_ ,6.0_ ,895.0_ ,722.0_ ,28_ ,33.42_ 
374.0_ ,0.0_ ,0.0_ ,190.0_ ,7.0_ ,1013.0_ ,730.0_ ,28_ ,39.05_ 
159.0_ ,149.0_ ,116.0_ ,175.0_ ,15.0_ ,953.0_ ,720.0_ ,28_ ,27.68_ 
153.0_ ,239.0_ ,0.0_ ,200.0_ ,6.0_ ,1002.0_ ,684.0_ ,28_ ,26.86_ 
310.0_ ,143.0_ ,0.0_ ,168.0_ ,10.0_ ,914.0_ ,804.0_ ,28_ ,45.30_ 
305.0_ ,0.0_ ,100.0_ ,196.0_ ,10.0_ ,959.0_ ,705.0_ ,28_ ,30.12_ 
151.0_ ,0.0_ ,184.0_ ,167.0_ ,12.0_ ,991.0_ ,772.0_ ,28_ ,15.57_ 
142.0_ ,167.0_ ,130.0_ ,174.0_ ,11.0_ ,883.0_ ,785.0_ ,28_ ,44.61_ 
298.0_ ,137.0_ ,107.0_ ,201.0_ ,6.0_ ,878.0_ ,655.0_ ,28_ ,53.52_ 
321.0_ ,164.0_ ,0.0_ ,190.0_ ,5.0_ ,870.0_ ,774.0_ ,28_ ,57.21_ 
366.0_ ,187.0_ ,0.0_ ,191.0_ ,7.0_ ,824.0_ ,757.0_ ,28_ ,65.91_ 
280.0_ ,129.0_ ,100.0_ ,172.0_ ,9.0_ ,825.0_ ,805.0_ ,28_ ,52.82_ 
252.0_ ,97.0_ ,76.0_ ,194.0_ ,8.0_ ,835.0_ ,821.0_ ,28_ ,33.40_ 
165.0_ ,0.0_ ,150.0_ ,182.0_ ,12.0_ ,1023.0_ ,729.0_ ,28_ ,18.03_ 
156.0_ ,243.0_ ,0.0_ ,180.0_ ,11.0_ ,1022.0_ ,698.0_ ,28_ ,37.36_ 
160.0_ ,188.0_ ,146.0_ ,203.0_ ,11.0_ ,829.0_ ,710.0_ ,28_ ,32.84_ 
298.0_ ,0.0_ ,107.0_ ,186.0_ ,6.0_ ,879.0_ ,815.0_ ,28_ ,42.64_ 
318.0_ ,0.0_ ,126.0_ ,210.0_ ,6.0_ ,861.0_ ,737.0_ ,28_ ,40.06_ 
287.0_ ,121.0_ ,94.0_ ,188.0_ ,9.0_ ,904.0_ ,696.0_ ,28_ ,41.94_ 
326.0_ ,166.0_ ,0.0_ ,174.0_ ,9.0_ ,882.0_ ,790.0_ ,28_ ,61.23_ 
356.0_ ,0.0_ ,142.0_ ,193.0_ ,11.0_ ,801.0_ ,778.0_ ,28_ ,40.87_ 
132.0_ ,207.0_ ,161.0_ ,179.0_ ,5.0_ ,867.0_ ,736.0_ ,28_ ,33.30_ 
322.0_ ,149.0_ ,0.0_ ,186.0_ ,8.0_ ,951.0_ ,709.0_ ,28_ ,52.42_ 
164.0_ ,0.0_ ,200.0_ ,181.0_ ,13.0_ ,849.0_ ,846.0_ ,28_ ,15.09_ 
314.0_ ,0.0_ ,113.0_ ,170.0_ ,10.0_ ,925.0_ ,783.0_ ,28_ ,38.46_ 
321.0_ ,0.0_ ,128.0_ ,182.0_ ,11.0_ ,870.0_ ,780.0_ ,28_ ,37.26_ 
140.0_ ,164.0_ ,128.0_ ,237.0_ ,6.0_ ,869.0_ ,656.0_ ,28_ ,35.23_ 
288.0_ ,121.0_ ,0.0_ ,177.0_ ,7.0_ ,908.0_ ,829.0_ ,28_ ,42.13_ 
298.0_ ,0.0_ ,107.0_ ,210.0_ ,11.0_ ,880.0_ ,744.0_ ,28_ ,31.87_ 
265.0_ ,111.0_ ,86.0_ ,195.0_ ,6.0_ ,833.0_ ,790.0_ ,28_ ,41.54_ 
160.0_ ,250.0_ ,0.0_ ,168.0_ ,12.0_ ,1049.0_ ,688.0_ ,28_ ,39.45_ 
166.0_ ,260.0_ ,0.0_ ,183.0_ ,13.0_ ,859.0_ ,827.0_ ,28_ ,37.91_ 
276.0_ ,116.0_ ,90.0_ ,180.0_ ,9.0_ ,870.0_ ,768.0_ ,28_ ,44.28_ 
322.0_ ,0.0_ ,116.0_ ,196.0_ ,10.0_ ,818.0_ ,813.0_ ,28_ ,31.18_ 
149.0_ ,139.0_ ,109.0_ ,193.0_ ,6.0_ ,892.0_ ,780.0_ ,28_ ,23.69_ 
159.0_ ,187.0_ ,0.0_ ,176.0_ ,11.0_ ,990.0_ ,789.0_ ,28_ ,32.76_ 
261.0_ ,100.0_ ,78.0_ ,201.0_ ,9.0_ ,864.0_ ,761.0_ ,28_ ,32.40_ 
237.0_ ,92.0_ ,71.0_ ,247.0_ ,6.0_ ,853.0_ ,695.0_ ,28_ ,28.63_ 
313.0_ ,0.0_ ,113.0_ ,178.0_ ,8.0_ ,1002.0_ ,689.0_ ,28_ ,36.80_ 
155.0_ ,183.0_ ,0.0_ ,193.0_ ,9.0_ ,1047.0_ ,697.0_ ,28_ ,18.28_ 
146.0_ ,230.0_ ,0.0_ ,202.0_ ,3.0_ ,827.0_ ,872.0_ ,28_ ,33.06_ 
296.0_ ,0.0_ ,107.0_ ,221.0_ ,11.0_ ,819.0_ ,778.0_ ,28_ ,31.42_ 
133.0_ ,210.0_ ,0.0_ ,196.0_ ,3.0_ ,949.0_ ,795.0_ ,28_ ,31.03_ 
313.0_ ,145.0_ ,0.0_ ,178.0_ ,8.0_ ,867.0_ ,824.0_ ,28_ ,44.39_ 
152.0_ ,0.0_ ,112.0_ ,184.0_ ,8.0_ ,992.0_ ,816.0_ ,28_ ,12.18_ 
153.0_ ,145.0_ ,113.0_ ,178.0_ ,8.0_ ,1002.0_ ,689.0_ ,28_ ,25.56_ 
140.0_ ,133.0_ ,103.0_ ,200.0_ ,7.0_ ,916.0_ ,753.0_ ,28_ ,36.44_ 
149.0_ ,236.0_ ,0.0_ ,176.0_ ,13.0_ ,847.0_ ,893.0_ ,28_ ,32.96_ 
300.0_ ,0.0_ ,120.0_ ,212.0_ ,10.0_ ,878.0_ ,728.0_ ,28_ ,23.84_ 
153.0_ ,145.0_ ,113.0_ ,178.0_ ,8.0_ ,867.0_ ,824.0_ ,28_ ,26.23_ 
148.0_ ,0.0_ ,137.0_ ,158.0_ ,16.0_ ,1002.0_ ,830.0_ ,28_ ,17.95_ 
326.0_ ,0.0_ ,138.0_ ,199.0_ ,11.0_ ,801.0_ ,792.0_ ,28_ ,40.68_ 
153.0_ ,145.0_ ,0.0_ ,178.0_ ,8.0_ ,1000.0_ ,822.0_ ,28_ ,19.01_ 
262.0_ ,111.0_ ,86.0_ ,195.0_ ,5.0_ ,895.0_ ,733.0_ ,28_ ,33.72_ 
158.0_ ,0.0_ ,195.0_ ,220.0_ ,11.0_ ,898.0_ ,713.0_ ,28_ ,8.54_ 
151.0_ ,0.0_ ,185.0_ ,167.0_ ,16.0_ ,1074.0_ ,678.0_ ,28_ ,13.46_ 
273.0_ ,0.0_ ,90.0_ ,199.0_ ,11.0_ ,931.0_ ,762.0_ ,28_ ,32.24_ 
149.0_ ,118.0_ ,92.0_ ,183.0_ ,7.0_ ,953.0_ ,780.0_ ,28_ ,23.52_ 
